part,scenario,algo,warmstart,mean_profit,ci95,n_rep,delta_rule,delta_best,horizon,note
A,fixed_U3,d3qn,N,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_U3,d3qn,Y,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_U3,ppo,N,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_U3,ppo,Y,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_A2,"fixed_0_(s,S)",,863073.3775000001,2032.5769569958288,10,13272.925000000163,-167.58500000007916,15+120,locked severe supply 40%
A,fixed_A2,best_fixed_1,,863240.9625000001,2067.352105132146,10,13440.510000000242,0.0,15+120,locked severe supply 40%
A,fixed_A2,rule_based,,849800.4524999999,1949.4358475901408,10,0.0,-13440.510000000242,15+120,locked severe supply 40%
A,fixed_A2,dqn,N,861495.9200000002,1866.0766115906827,10,11695.46750000026,-1745.0424999999814,15+120,locked severe supply 40%
A,fixed_A2,dqn,Y,852622.8600000001,1987.8899241933784,10,2822.407500000205,-10618.102500000037,15+120,locked severe supply 40%
A,fixed_A2,ddqn,N,861495.9200000002,1866.0766115906827,10,11695.46750000026,-1745.0424999999814,15+120,locked severe supply 40%
A,fixed_A2,ddqn,Y,859097.8349999997,2177.761861506688,10,9297.382499999832,-4143.12750000041,15+120,locked severe supply 40%
A,fixed_A2,dueling,N,855670.3025,1884.7210025434058,10,5869.850000000093,-7570.660000000149,15+120,locked severe supply 40%
A,fixed_A2,dueling,Y,863229.4025000001,2063.73273917872,10,13428.950000000186,-11.56000000005588,15+120,locked severe supply 40%
A,fixed_A2,d3qn,N,858785.86,2223.4453685522462,10,8985.407500000088,-4455.102500000154,15+120,locked severe supply 40%
A,fixed_A2,d3qn,Y,863240.9625000001,2067.352105132146,10,13440.510000000242,0.0,15+120,locked severe supply 40%
A,fixed_A2,ppo,N,863240.9625000001,2067.352105132146,10,13440.510000000242,0.0,15+120,locked severe supply 40%
A,fixed_A2,ppo,Y,849800.4524999999,1949.4358475901408,10,0.0,-13440.510000000242,15+120,locked severe supply 40%
A,fixed_A3,"fixed_0_(s,S)",,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,best_fixed_1,,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,rule_based,,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,dqn,N,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,dqn,Y,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,ddqn,N,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,ddqn,Y,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,dueling,N,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,dueling,Y,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,d3qn,N,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,d3qn,Y,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,ppo,N,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
A,fixed_A3,ppo,Y,-480346.7,983.3620595587137,10,0.0,0.0,15+120,locked supply shutdown
B,both_pdf,"fixed_0_(s,S)",,2573988.5949999997,6246.918209326043,30,-874.0649999999441,-67.45916666649282,30+365,long-horizon compound Markov
B,both_pdf,best_fixed_1,,2574056.054166666,6180.385446260887,30,-806.6058333334513,0.0,30+365,long-horizon compound Markov
B,both_pdf,rule_based,,2574862.6599999997,5639.48192334768,30,0.0,806.6058333334513,30+365,long-horizon compound Markov
B,both_pdf,dqn,N,2555798.255000001,5807.603992407367,30,-19064.404999998864,-18257.799166665412,30+365,long-horizon compound Markov
B,both_pdf,dqn,Y,2574834.006666667,5633.535118509223,30,-28.653333332855254,777.952500000596,30+365,long-horizon compound Markov
B,both_pdf,ddqn,N,2561719.346666666,5474.966061150264,30,-13143.31333333347,-12336.707500000019,30+365,long-horizon compound Markov
B,both_pdf,ddqn,Y,2574834.006666667,5633.535118509223,30,-28.653333332855254,777.952500000596,30+365,long-horizon compound Markov
B,both_pdf,dueling,N,2557045.931666667,5391.636488164102,30,-17816.728333332576,-17010.122499999125,30+365,long-horizon compound Markov
B,both_pdf,dueling,Y,2574056.054166666,6180.385446260887,30,-806.6058333334513,0.0,30+365,long-horizon compound Markov
B,both_pdf,d3qn,N,2554758.3991666664,5694.934065892527,30,-20104.260833333246,-19297.654999999795,30+365,long-horizon compound Markov
B,both_pdf,d3qn,Y,2574056.054166666,6180.385446260887,30,-806.6058333334513,0.0,30+365,long-horizon compound Markov
B,both_pdf,ppo,N,2574056.054166666,6180.385446260887,30,-806.6058333334513,0.0,30+365,long-horizon compound Markov
B,both_pdf,ppo,Y,2574258.4116666666,6122.322318552924,30,-604.2483333330601,202.35750000039116,30+365,long-horizon compound Markov
B,both_harsh_mild,"fixed_0_(s,S)",,2453409.159166666,30976.472956493544,30,-32746.20166666666,-13547.000833334401,30+365,long-horizon compound Markov
B,both_harsh_mild,best_fixed_13,,2466956.1600000006,25417.141196048375,30,-19199.20083333226,0.0,30+365,long-horizon compound Markov
B,both_harsh_mild,rule_based,,2486155.360833333,25917.66962062807,30,0.0,19199.20083333226,30+365,long-horizon compound Markov
B,both_harsh_mild,dqn,N,2461487.9499999997,25548.266842928795,30,-24667.410833333153,-5468.210000000894,30+365,long-horizon compound Markov
B,both_harsh_mild,dqn,Y,2486155.360833333,25917.66962062807,30,0.0,19199.20083333226,30+365,long-horizon compound Markov
B,both_harsh_mild,ddqn,N,2457619.5658333343,27206.200210984636,30,-28535.79499999853,-9336.59416666627,30+365,long-horizon compound Markov
B,both_harsh_mild,ddqn,Y,2486155.360833333,25917.66962062807,30,0.0,19199.20083333226,30+365,long-horizon compound Markov
B,both_harsh_mild,dueling,N,2463968.7016666667,27129.506831814862,30,-22186.659166666213,-2987.458333333954,30+365,long-horizon compound Markov
B,both_harsh_mild,dueling,Y,2472028.315833333,27012.146069997732,30,-14127.044999999925,5072.155833332334,30+365,long-horizon compound Markov
B,both_harsh_mild,d3qn,N,2460982.0491666663,27273.962870264048,30,-25173.31166666653,-5974.110833334271,30+365,long-horizon compound Markov
B,both_harsh_mild,d3qn,Y,2464008.57,27731.86381953919,30,-22146.79083333304,-2947.5900000007823,30+365,long-horizon compound Markov
B,both_harsh_mild,ppo,N,2467761.135,24948.33335240416,30,-18394.225833333097,804.9749999991618,30+365,long-horizon compound Markov
B,both_harsh_mild,ppo,Y,2485317.6791666667,25139.960903601997,30,-837.6816666661762,18361.519166666083,30+365,long-horizon compound Markov
B,both_harsh_strong,"fixed_0_(s,S)",,1987242.8325,67121.16278964125,30,-156664.12916666595,-167996.80583333364,30+365,long-horizon compound Markov
B,both_harsh_strong,best_fixed_12,,2155239.6383333337,57518.14786304486,30,11332.676666667685,0.0,30+365,long-horizon compound Markov
B,both_harsh_strong,rule_based,,2143906.961666666,59791.65992038423,30,0.0,-11332.676666667685,30+365,long-horizon compound Markov
B,both_harsh_strong,dqn,N,2104769.6058333335,61695.91613664644,30,-39137.35583333252,-50470.032500000205,30+365,long-horizon compound Markov
B,both_harsh_strong,dqn,Y,2128179.355,58497.29439496834,30,-15727.60666666599,-27060.283333333675,30+365,long-horizon compound Markov
B,both_harsh_strong,ddqn,N,2096225.7233333336,63166.59079888618,30,-47681.23833333235,-59013.91500000004,30+365,long-horizon compound Markov
B,both_harsh_strong,ddqn,Y,2126985.2725000004,59152.20127719592,30,-16921.689166665543,-28254.365833333228,30+365,long-horizon compound Markov
B,both_harsh_strong,dueling,N,2109488.756666667,56760.100161573355,30,-34418.20499999914,-45750.88166666683,30+365,long-horizon compound Markov
B,both_harsh_strong,dueling,Y,2068725.0333333334,64592.07802018827,30,-75181.92833333253,-86514.60500000021,30+365,long-horizon compound Markov
B,both_harsh_strong,d3qn,N,2106899.705833333,61874.21868089659,30,-37007.25583333289,-48339.93250000058,30+365,long-horizon compound Markov
B,both_harsh_strong,d3qn,Y,2112461.815,59315.941332888666,30,-31445.146666666027,-42777.82333333371,30+365,long-horizon compound Markov
B,both_harsh_strong,ppo,N,2109908.9483333332,61831.67698478528,30,-33998.013333332725,-45330.69000000041,30+365,long-horizon compound Markov
B,both_harsh_strong,ppo,Y,2141897.1166666667,59682.313223036144,30,-2009.8449999992736,-13342.521666666958,30+365,long-horizon compound Markov
